what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337018609625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018611163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018613418
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1337018614208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018614937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018667983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018669601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018694972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018699677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018706398
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1337018707558
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337018711826
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337018712943
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337018715087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018715493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018717578
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1337018717896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018730376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018731364
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1337018732074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018733013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018781513
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337018781570
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1337018788387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337018793603
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337018795022
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337018797059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018797456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018798140
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337018798215
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1337018799519
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1337018801579
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337018804279
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337018807867
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337018809942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018810324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018812581
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1337018812844
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1337018813940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018817034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018827242
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337018827296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018829474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018839401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018840889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018846570
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1337018849208
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337018849770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018849779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018851550
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337018852259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018852734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018857417
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337018857468
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337018860505
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337018862475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337018862901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019017402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337019017466
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337019030674
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337019031516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337019033810
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337019038018
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337019039263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019039681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019055970
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337019056023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019057383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019060598
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337019062149
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337019063967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019064402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337019201143
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337019202162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337019221007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337019227576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1337019234751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1337019238352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1337019241222
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1337019249460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337019258957
