what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023717609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023717826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023718186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337023719181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023721799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023733496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337023736243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023745668
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1337023746611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023747650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023757909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337023762140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023765444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023770789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023772280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023774474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337023774812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337023776854
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337023779029
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337023780852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023780859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023783261
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1337023783591
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337023794508
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1337023797447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023800654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023812992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337023817691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337023820503
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1337023822335
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1337023826119
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1337023827489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023827890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337023830383
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1337023830743
